SUBJECT_NUMBER;ARMCIRCBCPS_FLEX;BUTTOCK_CIRC;CALF_CIRC;CHEST_CIRC;FOREARM_CIRC-FLEXED;SHOULDER_CIRC;STATURE;THIGH_CIRC-PROXIMAL;WAIST_CIRC_NATURAL;WEIGHT;GENDER;AGE-ANSUR88;WORKOUT
114;364;1027;400;1052;318;1223;1735;627;949;883;1;34;A1
117;325;1045;400;1029;294;1184;1830;615;916;865;1;37;A2
118;308;970;362;995;282;1174;1726;576;834;713;1;38;A3
122;312;998;410;966;308;1134;1783;616;825;816;1;33;A1
123;335;968;380;1032;292;1136;1669;587;914;756;1;42;A2
126;292;879;321;937;285;1096;1758;489;759;599;1;34;A3
195;342;1030;363;1012;302;1205;1788;594;951;841;1;40;A1
203;315;1027;387;980;284;1171;1829;609;886;824;1;36;A2
207;317;1014;369;1019;295;1228;1745;612;902;828;1;34;A3
208;348;1062;373;1069;318;1205;1643;645;971;838;1;46;A1
211;320;1025;392;1043;307;1189;1698;607;964;831;1;38;A2
214;382;1067;397;1061;328;1202;1727;691;929;904;1;32;A3
220;323;989;391;1048;287;1166;1734;573;925;786;1;41;A1
222;336;955;362;1041;294;1166;1684;587;874;751;1;35;A2
223;317;960;383;896;278;1095;1667;558;834;692;1;40;A3
224;330;986;356;1078;298;1243;1680;596;981;790;1;39;A1
225;357;1022;401;1028;323;1220;1785;636;864;843;1;19;A2
226;332;991;396;993;308;1195;1885;592;847;839;1;19;A3
228;328;958;366;999;298;1178;1841;575;831;769;1;20;A1
289;371;1034;399;981;334;1228;1702;622;912;852;1;37;A2
290;392;1099;431;1142;356;1286;1738;696;984;979;1;32;A3
295;315;921;346;954;295;1135;1732;547;831;694;1;35;A1
297;320;912;384;1007;295;1157;1739;550;805;712;1;37;A2
298;375;961;374;971;323;1161;1877;568;778;777;1;38;A3
299;343;1001;381;985;312;1112;1725;592;857;782;1;41;A1
302;323;1024;396;936;283;1119;1704;621;848;756;1;35;A2
310;339;1048;402;1022;320;1214;1748;627;920;844;1;20;A3
311;320;970;364;985;292;1158;1647;586;852;720;1;20;A1
315;282;897;323;871;269;1060;1699;557;727;606;1;19;A2
316;357;1001;373;1046;315;1213;1761;611;879;830;1;20;A3
317;329;980;379;1008;299;1160;1671;599;822;743;1;19;A1
320;356;1048;397;1012;306;1173;1644;657;854;791;1;19;A2
321;338;1013;385;1078;302;1181;1739;599;952;816;1;43;A3
322;304;939;337;904;288;1145;1749;559;785;684;1;22;A1
376;412;1062;433;1089;366;1265;1845;694;933;1013;1;33;A2
377;333;1110;390;1080;317;1219;1954;647;976;1018;1;33;A3
383;340;949;383;955;310;1105;1844;583;792;778;1;32;A1
384;298;884;339;900;277;1094;1601;520;789;585;1;35;A2
385;344;1010;379;946;320;1197;1846;604;860;834;1;35;A3
386;347;962;356;986;292;1156;1672;578;918;727;1;47;A1
389;357;1130;430;1036;321;1232;1934;695;951;1053;1;37;A2
393;326;996;378;953;289;1157;1862;604;826;812;1;31;A3
397;325;917;343;962;288;1123;1694;529;816;660;1;19;A1
406;325;1036;387;1038;306;1172;1740;628;941;840;1;34;A2
407;394;1072;411;1027;347;1261;1739;680;912;928;1;29;A3
409;365;1001;399;1044;318;1204;1719;620;854;823;1;39;A1
411;317;945;373;937;309;1143;1722;580;855;730;1;32;A2
413;322;1028;393;1089;296;1236;1776;626;953;867;1;36;A3
414;377;1144;429;1099;345;1330;1897;675;1026;1076;1;38;A1
419;342;991;388;1046;287;1198;1730;608;889;784;1;40;A2
423;361;996;410;1024;327;1218;1688;617;952;827;1;34;A3
425;405;1072;386;1084;329;1266;1692;653;945;883;1;38;A1
426;345;1045;391;1122;301;1243;1778;654;894;882;1;37;A2
